Date,text,Tickers,Sentiment,label,Pct_Change
2010-12-27, MSCI Asia Pacific Index Rises Led by Japanese Stocks,"[""['EWJ']""]",{'EWJ': 0},neutral,{'EWJ': 0.0027906315290886496}
2011-06-07,"10-Year U.S. Treasury Yield Decreases, Two-Year Yields Fall to 2011 Low","[""['^TNX']""]",{'^TNX': 0},neutral,{'^TNX': 0.002997942786055141}
2010-04-07,"S&P 500 Drops 0.6%, Biggest Decline Since February","[""['^GSPC']""]",{'^GSPC': -1},negative,{'^GSPC': -0.005876707172041695}
2010-07-29, Dollar Weakens Against Major Currencies,"[""['UUP']""]",{'UUP': -1},negative,{'UUP': -0.006697360430256483}
2010-03-02,Indian Economy Shows Improvement with Manufacturing and Export Increases,"[""['^BSESN']""]",{'^BSESN': 1},positive,{'^BSESN': 0.02087761072667038}
2011-06-09, Goldman Sachs Agrees to Pay $10 Million Fine and Stop Holding Private Meetings,"[""['GS']""]",{'GS': 1},positive,{'GS': 0.014742682299329957}
2011-04-04,U.S. Stocks Maintain Record Levels as Treasuries Rise on Payrolls Data,"[""['^GSPC']""]",{'^GSPC': 0},neutral,{'^GSPC': 0.0003452097520288966}
2010-05-25,"Euro Rises From Day's Low, Aiding in Stock Market Rebound","[""['^STOXX50E']""]",{'^STOXX50E': -1},negative,{'^STOXX50E': -0.03328436003539892}
2011-01-06,Brazilian Real Weakens After Central Bank Action,"[""['EWZ']""]",{'EWZ': 0},neutral,{'EWZ': -0.009929289083019377}
2011-05-10, MSCI Emerging Markets Index Gains 0.5 Percent,"[""['EEM']""]",{'EEM': 1},positive,{'EEM': 0.011791445120795885}
2010-12-17, Copper Prices Increase as German Business Confidence Reaches Record High,"[""['^GDAXI', 'COPX']""]","{'^GDAXI': -1, 'COPX': 1}",neutral,"{'^GDAXI': -0.0059719986923371104, 'COPX': 0.006389885310841059}"
2011-10-26,Oil Prices Slide Following Increase in U.S. Supplies,"[""['CL=F']""]",{'CL=F': -1},negative,{'CL=F': -0.031877227423763754}
2010-03-16,S&P 500 Hits 17-Month High Following Fed's Rate Decision,"[""['^GSPC', '^IRX']""]","{'^GSPC': 1, '^IRX': 1}",positive,"{'^GSPC': 0.0077791163013856135, '^IRX': 0.06896555622182587}"
2010-09-09,Stocks Rise as U.S. Jobless Claims Fall More Than Expected,"[""['^GSPC']""]",{'^GSPC': 1},positive,{'^GSPC': 0.0048322900955937165}
2010-06-16,Fannie Mae and Freddie Mac Shares Plunge After Delisting Announcement,"[""['FNMA', 'FMCC']""]","{'FNMA': -1, 'FMCC': -1}",negative,"{'FNMA': -0.39130435627665083, 'FMCC': -0.38524591605594705}"
2011-01-06,Federal Reserve Continues Bond Purchases to Stimulate Economy,"[""['SPY']""]",{'SPY': 0},neutral,{'SPY': -0.0019587147278095074}
2010-09-14, IMF Recommends Limited Currency Intervention for South Korea,"[""['ACWI']""]",{'ACWI': 0},neutral,{'ACWI': 0.003312607778578558}
2010-05-19,S&P 500 Erases Yearly Gains; S&P GSCI Commodities Index Hits February Low,"[""['SPY', 'GSG']""]","{'SPY': -1, 'GSG': 0}",negative,"{'SPY': -0.005694130518942964, 'GSG': -0.005786613006131147}"
2011-07-14,Ten-Year Treasury Yields Climb Amid Concerns Over U.S. Credit Rating,"[""['^TNX']""]",{'^TNX': 1},positive,{'^TNX': 0.018332747389374404}
2010-10-18,"Halliburton Profit Drops Outside North America, Shares Decline","[""['HAL']""]",{'HAL': -1},negative,{'HAL': -0.048297034723753796}
2010-01-20, Euro Hits Five-Month Low; Greek Bonds Yield Surge,"[""['FXE', 'GREK']""]",{'FXE': -1},negative,{'FXE': -0.01400775092838058}
2011-10-24,Commodities Rise on Signs of Asian Growth,"[""['MSCI']""]",{'MSCI': 1},positive,{'MSCI': 0.023320390949937986}
2011-10-28, Brazil's Real Performs Best Among Major Counterparts as Central Bank Sells Dollars,"[""['EWZ']""]",{'EWZ': 1},positive,{'EWZ': 0.021697781589871568}
2011-10-14, Euro Rises 1.2 Percent Against Yen as Investors Pursue Riskier Assets.,"[""['FXE', 'FXY']""]","{'FXE': 1, 'FXY': -1}",neutral,"{'FXE': 0.0064074350698426485, 'FXY': -0.004600779335716787}"
2010-10-06, Two-Year Treasury Yield Reaches Record Low,"[""['^TNX']""]",{'^TNX': -1},negative,{'^TNX': -0.030315298454962836}
2010-10-07, U.S. Treasury Yields Fluctuate Amid Economic Data,"[""['^TNX']""]",{'^TNX': 0},neutral,{'^TNX': -0.0012505298328834291}
